store_name,title,image,preview,select_color,brand,feature_bullet_1,feature_bullet_2,product_description
M47,Floral Sewing Machine It Began as A Harmless Hobby,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090e4d69e7770129ac82f2a/fef7f30f69854d5b88456c8969dd8aa5/666.png,,dark_color,Sewing Lover,"Sewing Machine, Sewing Lover, Quilting Knitting, Inspirational Birthday Gift, Love Sewing, Sewing Journal, Quilters, Sewers, Handcrafting, Harmless Hobby, I Had No Idea.",,It Began as A Harmless Hobby I Had No Idea It Would Come to This Is an Awesome and Trendy Design in 2021. This Unique Funny Design Is the Perfect Way to Express Your Love and Gratitude to Your Friends and Family! Looking for A Great Gift to Show Your Appreciation and Support for A Friend? Need a New Journal in Your Life? This Makes a Great Gift for Women or Men Who Are Happy Crafty Sewing Enthusiasts.
M46,I Sew a Piece of My Heart Into Every Quilt I Make,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090e4d69e7770129ac82f2a/4f869ba0189a34f7651a2b27ced7d1d5/7.png,,light_color,Sew a Piece of My Heart,"Sewing, Sewing Machine, Sewing Room, Sewing Queen, Sewing Machines, Sewing Theme, Sewing Vintage, Funny Saying, Heart, Sew a Piece of My Heart, Every Quilt, Fabricaholic, Fabric, Clothing",,"wear This Tee Is Great Way to Show Love and Support Sewing. Sewing Is Awesome! Not Too Many Other Hobbies Can You Use a Machine and Your Hands to Sew Together Socks, Quilts, Clothes, Tees, and Everything Else Warm in The World. Great for Those that Like Sewing Patterns and A Him or Her with Kits Laying Around. This I Sew a Piece of My Heart Into Every Quilt I Make Sewing Machine Funny Sew Quilting Quilter Seamstress Sewer Clothing for Any Quilting Queen Who Loves Embroidering & Is Always Buying Quilting Supplies. Perfect for Fabricaholic, Seamstress, Needlework Lover!"
M44,Floral Sewing Machine Today Is A Great Day to Quilt,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090eba7765d7e48bb946dd4/b70ec16976e8891d84e843568b4c6555/1.png,,dark_color,Today Is A Great Day to Quilt,"Today Is A Great Day to Quilt, Quilt, Quilt Machine, Quilt Room, Quilt Queen, Quilt Machines, Sewing Theme, Sewing Vintage, Funny Saying.",,"Wear This Tee Is Great Way to Show Love and Support Quilting. Quilting is awesome! Not too many other hobbies can you use a machine and your hands to sew together socks, quilts, clothes, tees, and everything else warm in the world. Great for those that like sewing patterns and a him or her with kits laying around. This Today Is A Great Day to Quilt sewing machine funny sew quilting quilter seamstress sewer clothing for any quilting queen who loves embroidering & is always buying quilting supplies. Perfect for fabricaholic, seamstress, needlework lover!"
M43,American Patriot Flag Parrot with American Flag Classic,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090ec9242ed7136f2a6dcae/dee23bfa3e55980ccc60f29ba5bc8db3/Untitled-1-1.png,,light_color,Parrot with American Flag,"Parrot , American Patriot Flag, American Flag, Us Flag, the Funniest Wading Bird, Parrot Lover, Independence Day, 4th of July, Spirit Animal, Patriotic 4th of July, Funny Parrot",,Get This Patriotic American Motif and Express Your Proud Patriotism and Love on Independence Day 4th of July. Your Stylish America Passion Artwork! Fly up Your Awesome Life with This Awesome Parrot Novelty. Makes the Best Patriotic Independence Day Themed Gift for Kids and Teen to Commemorate the Declaration of Independence in The USA on The 4th of July. Celebrate Independence with Fireworks & Parties Wearing This Proud.
M42,50% Fluffy Cuteness 50% Lazy Cat Cat Owner Gift,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090edcac4ba6b480bc8279c/84e5d960d6e341b451c3ddb95a966433/Untitled-1-1.png,,light_color,Cat Owner Gift,"Cat Owner Gift, 50% Fluffy, Fluffy Cuteness, 50% Lazy, Cat, Cute Cat, Love Cat, Cat Lover, Cat Owner, Pet Owner, Pet Lover, Lazy Cat, Not Today, Do Nothing, Lay on The Bed All Day",,"Cute Tired Cat with Funny Saying. Motivation for Work, or For Lazing Around. Laziness Is Not a Virtue but Sometimes There Is Not an Other Way. Funny Design with Kitty for The Office. It Might Be Monday, I Might Be Any Other Day Where You Don't Want to Do Anything. Nothing, Just Stay in Your Bed, Lying on The Couch Like This Cat. Maybe Binge Watch a Series, Have a Few Coffees or A Nice Warm Tee. Just Be Lazy, No Reason to Rush, Tomorrow Is Another Day. if You Feel Like This, This Might Be the Way to Show It."
M41,American Patriot Flag Dolphin with American Flag Classic,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090f3a1f6290948750c3f0a/be20e7c8dad0e9100228abe580677fc1/33.png,,light_color,Dolphin with American Flag,"Dolphin , American Patriot Flag, American Flag, Us Flag, the Funniest Wading Fish, Dolphin Lover, Independence Day, 4th of July, Spirit Animal, Sea Creature Lovers, Patriotic 4th of July, Funny Dolphin",,Get This Patriotic American Motif and Express Your Proud Patriotism and Love on Independence Day 4th of July. Your Stylish America Passion Artwork! Fly up Your Awesome Life with This Awesome Dolphin Novelty. Makes the Best Patriotic Independence Day Themed Gift for Kids and Teen to Commemorate the Declaration of Independence in The Usa on The 4th of July. Celebrate Independence with Fireworks & Parties Wearing This Proud.
M40,Mother Day Leopard Sunflower Being a Mom Makes Life Complete,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090f455c893e74ce0127cd3/0f9b82edb3d9794be13ea32c21a7598a/a.png,,light_color,Happy Mother's Day,"Women, Mom, Wife, Mama, Grandma, Nana, Mimi, Gigi, Daughter, Nanny, Mamaw, Butterfly, Mother's Day, May 9th, Great Matching Family, Birthday, Holiday, Family Reunion, Anniversary, Family Reunion, Thanksgiving, Christmas, Sunflower, Flower Lovers",,"Being a Mom Is Everything! Boy Mom or Girl Mom, Raising Kids Is Fulfilling! Being a Mom Makes My Life Complete Butterfly Mother's Day Design. Mom Design, Mother's Day Shirt for Women, Mom, Wife, Mama, Grandma, Nana, Mimi, Gigi, Daughter, Nanny, Mamaw, Butterfly Lover to Wear in Mother's Day in May 9th. Gift for Proud Moms, Mothers Day Gifts. Gift for Self Proud Moms. the Mother's Day, Being a Mom Makes My Life Complete Mother's Day Design Is Great for Pictures, Going out To Eat or Hanging Around the House Enjoying Mother's Day or Any Other Occasion. First Mother's Day 2021."
M39,Floral Green Truck and Butterflies I Love Being a Gigi,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090f455c893e74ce0127cd3/47879e9014a2550cb9500a6d0865d2dc/Untitled-1-Recovered-1.png,,light_color,I Love Being a Gigi,"I Love Being a Gigi, Family, Gigi Gift, Grandmother Gift, Mimi, Gigi, Nana, Amazing Gift, Mother's Day, Birthday, Anniversary, Graduation, Christmas, Easter, Funny Saying, Grandma, Mama, Grandmom, Grandma, Yaya, Nanny, Nunny, Mom, Gaga, Grammy, Gammi, Aunt",,"Gg or Gigi, Is a Cool Great Grandmother Nickname. It Is a Blessing to Be a Grandparent and Great Grandparent. Makes a Great Gift for Gg for Mother's Day, Birthday, Pregnancy Announcement or Give to Her at Your Baby Shower. I Love Being a Gigi Gift for Her, Wife and Grandma. Unique Office Party Gift Idea for Co Worker. Thoughtful for Sister, Mom, Aunt or Daughter Who Is a Grandparent."
M38,Floral Green Truck and Butterflies I Love Being a Nana,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090f5da22ed78049c8c02bc/ea89a26975ff57d8f789edae7bf20a1a/Untitled-1.png,,light_color,I Love Being a Nana,"I Love Being a Nana, Family, Gigi Gift, Grandmother Gift, Mimi, Gigi, Nana, Amazing Gift, Mother's Day, Birthday, Anniversary, Graduation, Christmas, Easter, Funny Saying, Grandma, Mama, Grandmom, Grandma, Yaya, Nanny, Nunny, Mom, Gaga, Grammy, Gammi, Aunt",,"Nana, Is a Cool Great Grandmother Nickname. It Is a Blessing to Be a Grandparent and Great Grandparent. Makes a Great Gift for Gg for Mother's Day, Birthday, Pregnancy Announcement or Give to Her at Your Baby Shower. I Love Being a Gigi Gift for Her, Wife and Grandma. Unique Office Party Gift Idea for Co Worker. Thoughtful for Sister, Mom, Aunt or Daughter Who Is a Grandparent."
M37,Cartoon Sewing Tool My Sewing Room Is My Happy Place,https://trello-attachments.s3.amazonaws.com/6090d5568a51f67005b7f65b/6090f69126b1ca84b209e905/fa3e36eda426f1f49c3e374c99f28449/my.png,,light_color,My Sewing Room Is My Happy Place,"My Sewing Room Is My Happy Place, Sewing, Sewing Machine, Sewing Room, Sewing Queen, Sewing Machines, Sewing Theme, Sewing Vintage, Funny Saying.",,"Wear This Tee Is Great Way to Show Love and Support Sewing. Sewing Is Awesome! Not Too Many Other Hobbies Can You Use a Machine and Your Hands to Sew Together Socks, Quilts, Clothes, Tees, and Everything Else Warm in The World. Great for Those that Like Sewing Patterns and A Him or Her with Kits Laying Around. This My Sewing Room Is My Happy Place Sewing Machine Funny Sew Quilting Quilter Seamstress Sewer Clothing for Any Quilting Queen Who Loves Embroidering & Is Always Buying Quilting Supplies. Perfect for Fabricaholic, Seamstress, Needlework Lover!"
